fecha_hora,usuario_bd,tabla_nombre,operacion,detalles,registro_id
2026-05-02 08:11:05,fabricio,usuarios,U,"Actualizacion de correo del usuario","USR101"
2026-05-02 08:44:19,rodrigo,ventas,I,"Venta creada desde punto de caja","VEN201"
2026-05-02 09:02:47,auditor_externo,productos,U,"Cambio de precio por promocion","PRD101"
2026-05-02 09:40:12,fabricio,inventario,D,"Registro de inventario duplicado eliminado","INV301"
2026-05-02 10:15:33,rodrigo,clientes,U,"Telefono de cliente actualizado","CLI101"
2026-05-02 11:21:09,auditor_externo,ventas,U,"Venta marcada como facturada","VEN202"
2026-05-02 12:05:55,fabricio,productos,I,"Nuevo producto de temporada","PRD102"
2026-05-02 13:18:26,rodrigo,usuarios,I,"Usuario operador creado","USR102"
2026-05-02 14:27:44,auditor_externo,pedidos,D,"Pedido anulado por error de carga","PED101"
2026-05-02 15:33:10,fabricio,clientes,I,"Alta de cliente mayorista","CLI102"
2026-05-03 08:09:31,rodrigo,ventas,U,"Correccion de monto total","VEN203"
2026-05-03 08:58:03,auditor_externo,productos,U,"Actualizacion de descripcion comercial","PRD103"
2026-05-03 09:47:52,fabricio,inventario,U,"Ajuste de stock por inventario fisico","INV302"
2026-05-03 10:31:28,rodrigo,usuarios,D,"Usuario temporal deshabilitado","USR103"
2026-05-03 11:12:17,auditor_externo,clientes,U,"Actualizacion de direccion fiscal","CLI103"
2026-05-03 12:49:06,fabricio,pedidos,I,"Pedido web confirmado","PED102"
2026-05-03 13:26:40,rodrigo,ventas,I,"Venta con descuento por campana","VEN204"
2026-05-03 14:04:22,auditor_externo,productos,D,"Producto obsoleto retirado","PRD104"
2026-05-03 15:37:59,fabricio,usuarios,U,"Cambio de rol a supervisor","USR104"
2026-05-03 16:22:11,rodrigo,clientes,D,"Cliente inactivo eliminado","CLI104"
2026-05-04 08:14:33,auditor_externo,pedidos,U,"Pedido actualizado con nueva fecha de entrega","PED103"
2026-05-04 09:03:45,fabricio,inventario,I,"Entrada de mercaderia registrada","INV303"
2026-05-04 10:28:07,rodrigo,ventas,U,"Venta reconciliada con pasarela de pago","VEN205"
2026-05-04 11:16:52,auditor_externo,usuarios,I,"Alta de usuario de auditoria","USR105"
2026-05-04 12:40:29,fabricio,productos,U,"Correccion de unidad de medida","PRD105"
