fecha_hora,usuario_bd,tabla_nombre,operacion,detalles,registro_id
2026-04-28 09:15:32,fabricio,usuarios,I,"Se insertó nuevo usuario admin","USR001"
2026-04-28 10:42:18,rodrigo,productos,U,"Actualización de precio","PRD002"
2026-04-28 11:23:45,auditor_externo,pedidos,I,"Nuevo pedido registrado","PED001"
2026-04-28 14:05:22,fabricio,productos,D,"Producto descontinuado","PRD003"
2026-04-28 15:30:10,rodrigo,usuarios,U,"Cambio de contraseña","USR002"
2026-04-29 08:12:55,auditor_externo,pedidos,U,"Pedido marcado como enviado","PED002"
2026-04-29 09:45:33,fabricio,clientes,I,"Nuevo cliente registrado","CLI001"
2026-04-29 11:20:18,rodrigo,productos,U,"Actualización de stock","PRD004"
2026-04-29 13:55:42,fabricio,pedidos,I,"Pedido urgente","PED003"
2026-04-29 16:30:25,auditor_externo,usuarios,D,"Usuario inactivo eliminado","USR003"
2026-04-30 07:18:40,rodrigo,clientes,U,"Datos de contacto actualizados","CLI002"
2026-04-30 09:33:15,fabricio,productos,I,"Nuevo producto agregado","PRD005"
2026-04-30 10:45:20,auditor_externo,pedidos,D,"Pedido cancelado","PED004"
2026-04-30 12:10:05,rodrigo,usuarios,I,"Nueva cuenta de usuario","USR004"
2026-04-30 14:25:38,fabricio,clientes,D,"Cliente dado de baja","CLI003"
2026-05-01 08:05:12,auditor_externo,productos,U,"Ajuste de descripción","PRD006"
2026-05-01 09:18:45,rodrigo,pedidos,I,"Pedido procesado","PED005"
2026-05-01 10:30:22,fabricio,usuarios,U,"Cambio de rol","USR005"
2026-05-01 11:45:33,auditor_externo,clientes,I,"Cliente empresarial","CLI004"
2026-05-01 13:20:18,rodrigo,productos,U,"Actualización de promoción","PRD007"
